Date,Current,Previous,Consensus,TE_Forecast
2020/11,-0.4%,0.3%,-0.2%,-0.4%
2020/12,-0.2%,-0.7%,-0.4%,-0.6%
2021/1,2.4%,-0.4%,2.5%,1.9%
2021/2,-1.0%,3.4%,-0.7%,-0.7%
2021/3,4.2%,-1%,4.1%,4.6%
2021/4,0.5%,4.7%,0.5%,0.5%
2021/5,0.0%,0.9%,0.4%,0.4%
2021/6,1%,-0.1%,0.7%,0.5%
2021/7,0.3%,1.1%,0.3%,0.5%
2021/8,0.8%,-0.1%,0.6%,0.3%
2021/9,0.6%,1%,0.5%,0.6%
2021/10,1.3%,0.6%,1%,0.7%
2021/11,0.6%,1.4%,0.6%,0.5%
2021/12,-0.6%,0.4%,-0.6%,-0.3%
2022/1,2.1%,-0.8%,1.5%,0.7%
2022/2,0.2%,2.7%,0.5%,0.4%
2022/3,1.1%,0.6%,0.7%,0.5%
2022/4,0.9%,1.4%,0.7%,0.8%
2022/5,0.2%,0.6%,0.4%,0.8%
2022/6,1.1%,0.3%,0.9%,0.6%
2022/7,0.1%,1%,0.4%,0.2%
2022/8,0.4%,-0.2%,0.2%,0.2%
2022/9,0.6%,0.6%,0.4%,0.3%
2022/10,0.8%,0.6%,0.8%,0.6%
2022/11,0.1%,0.9%,0.2%,0.3%
2022/12,-0.2%,-0.1%,-0.1%,-0.1%
2023/1,1.8%,-0.1%,1.3%,1.1%
2023/2,0.2%,2%,0.3%,0.5%
2023/3,0%,0.1%,-0.1%,-0.2%
2023/4,0.8%,0.1%,0.4%,0.3%
2023/5,0.1%,0.6%,0.2%,0.4%
2023/6,0.5%,0.2%,0.4%,0.3%
2023/7,0.8%,0.5%,0.7%,0.4%
2023/8,0.4%,0.9%,0.4%,0.6%
2023/9,0.7%,0.4%,0.5%,0.5%
2023/10,0.2%,0.7%,0.2%,0.4%
2023/11,0.2%,0.1%,0.3%,0.2%
2023/12,0.7%,0.4%,0.4%,0.3%
2024/1,0.2%,0.7%,0.2%,0.2%
2024/2,0.8%,0.2%,0.5%,0.3%
2024/3,,0.8%,0.6%,0.5%
